,user,time,tweet_text,lat,long,location,hashtags
28,Fufanica,Fri Nov 13 00:45:59 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
29,heyref88,Fri Nov 13 00:43:39 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,"Vaughan, Ontario",[]
30,ElieShammas,Fri Nov 13 00:42:05 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,Elie Shammas,[]
31,hanif_shamji,Fri Nov 13 00:35:53 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,"Toronto, ON Canada",[]
32,hs88_hs88,Fri Nov 13 00:35:29 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,A safe distance from you,[]
33,IntruderVS1400,Fri Nov 13 00:33:24 +0000 2020,"Deutsche-Bank is trying to penalize the very thing they should *hope* more people can and would do. Instead they should penalize companies that don't let workers who can work from home do just that.

https://t.co/hWZALGDugE",,,Toronto,[]
34,AlzheimerPpl,Fri Nov 13 00:33:10 +0000 2020,RT @stolte4ward4: I challenge all bikers to protect their favourite town of Port Dover on Friday the 13th by NOT going down tomorrow. Celeb…,,,"Burlington, Ontario",[]
35,shalenawilliam4,Fri Nov 13 00:32:26 +0000 2020,RT @h_juschitz: @cnnbrk What about @IvankaTrump and @jaredkushner investments whose funds support Chinese funding of military? Ivanka’s cof…,,,connecticut,[]
36,stolte4ward4,Fri Nov 13 00:32:10 +0000 2020,I challenge all bikers to protect their favourite town of Port Dover on Friday the 13th by NOT going down tomorrow. Celebrate instead by donating the $13 gas money to your local food bank and know that your good choice will make a difference in so many ways! https://t.co/Ch2LF09byS,,,"Burlington, Ontario",[]
37,tojunctionbot,Fri Nov 13 00:30:49 +0000 2020,The foreclosed bank has moved to Thorncrest Village. In its place is a new coin laundry selling magnificent tweezers.,,,"Toronto, Ontario",[]
38,SJP18442567,Fri Nov 13 00:30:18 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
39,sharond19261867,Fri Nov 13 00:29:57 +0000 2020,RT @h_juschitz: @cnnbrk What about @IvankaTrump and @jaredkushner investments whose funds support Chinese funding of military? Ivanka’s cof…,,,,[]
40,ipman85,Fri Nov 13 00:27:16 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,"Toronto, ON",[]
41,rheaelizabethv,Fri Nov 13 00:27:05 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,"Toronto, Ontario",[]
42,VickiM81561327,Fri Nov 13 00:26:53 +0000 2020,@cnni What about his bank account in China? What about Ivanka's dealings in China?,,,"Toronto, ON",[]
43,anitaismail10,Fri Nov 13 00:23:40 +0000 2020,"RT @CPA_Ontario: Keep your phone charged at all times. Win this CPA Ontario power bank. 
To enter:
✨ Follow @CPA_Ontario​
✨ Like this post…",,,,[]
44,neli_trevisan,Fri Nov 13 00:20:38 +0000 2020,"@fordnation Could you do your part and implement the recommendations given to you by public health professionals? We can do our part, but it won’t make a difference if you don’t do your job. You have 9.3b in the bank to make our schools, community, businesses and health centres safe.",,,"Barrie, Ontario",[]
45,TmaToronto,Fri Nov 13 00:19:25 +0000 2020,"And now for our 2020 Newsmaker distinguished speaker, Mr. Stephen Poloz (former governor of the Bank of Canada).

#TMATorontoNewsmaker2020 https://t.co/c8ofjtU0Nw",,,"Toronto, Ontario","[{'text': 'TMATorontoNewsmaker2020', 'indices': [114, 138]}]"
46,dugstweets,Fri Nov 13 00:18:19 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,,[]
47,Firedupat50,Fri Nov 13 00:18:18 +0000 2020,@brady_dennis @Fahrenthold Perhaps he is building a huge mess for Biden to inherit and the country be dammed.  The only thing he loves is the crazy fucker that looks back at him in he mirror and of course Putin’s bank account.   American classified info for sale!,,,"Toronto, Canada",[]
48,asifintoronto,Fri Nov 13 00:15:46 +0000 2020,"@MrButterChicken I can't imagine she (or anyone) would be this bad without Ford's influence, which seems to be derived directly from campaign donors who view Queen's Park as a bank account.",,,"Toronto, Ontario",[]
49,HolyCrossBurl,Fri Nov 13 00:15:00 +0000 2020,"If you have bottles that need returning to the Beer Store, DM us as we're using bottle returns to help the fund the Blessing Box (a self-serve food bank on our property). Every bit helps, and by working together, we can help many others. https://t.co/pnFfqO02Ug",,,"Burlington, ON CANADA",[]
50,torosejulia,Fri Nov 13 00:14:57 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,Toronto,[]
51,Knights_Table,Fri Nov 13 00:12:55 +0000 2020,"RT @VolunteerMBC: Leslie, leader of volunteers at KT, gives a shoutout to the @CityBrampton Backyard Garden program for all the food Brampt…",,,"Peel, Ontario",[]
52,marinatronin,Fri Nov 13 00:09:42 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,"Ottawa, Ontario",[]
53,chapman_cori4,Fri Nov 13 00:07:16 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,,[]
54,JSemerko,Fri Nov 13 00:04:42 +0000 2020,"@TheGreenNewDill @RuziGaz @UPP_Polls @SoCaPaul Emoluments foriegn and domestic
Campaign contributions foriegn and domestic
Witness tampering
Bank fraud
Tax fraud

Don't you pay attention?",,,"Halton Hills, Ontario",[]
55,charlesmire,Fri Nov 13 00:02:16 +0000 2020,RT @drandrewb: you can't say you respect your front-line health work force and then actively reject science/public health experts while we…,,,"Kitchener-Waterloo, Canada",[]
